Word;Part of speech;Translation;example;theme
bitter;adjective;ru: горький--ua: гіркий;Dark chocolate has a bitter taste. + The medicine was very bitter. + He doesn’t like bitter coffee.;ua: їжа -- ru: еда
black currant;noun;ru: черная смородина--ua: чорна смородина;Black currant is rich in vitamin C. + She made black currant jam. + I love the taste of black currant tea.;ua: їжа -- ru: еда
blackberry;noun;ru: ежевика--ua: ожина;Blackberries grow in the wild. + He picked fresh blackberries in the forest. + I love blackberry pie.;ua: їжа -- ru: еда
blend;noun;ru: смесь--ua: суміш;This tea is a blend of different herbs. + The coffee blend is very strong. + She bought a special blend of spices.;ua: їжа -- ru: еда
blueberry;noun;ru: черника, голубика--ua: чорниця, лохина;Blueberries are good for your eyes. + He added blueberries to his pancakes. + Blueberry juice is very refreshing.;ua: їжа -- ru: еда
to boil;verb;ru: кипятить, варить--ua: кип’ятити, варити;Boil some water for tea. + She boiled the eggs for breakfast. + You need to boil the potatoes until they are soft.;ua: їжа -- ru: еда
boiled;adjective;ru: вареный, кипяченый--ua: варений, кип’ячений;I like boiled eggs. + Boiled potatoes are easy to digest. + Boiled water is safe to drink.;ua: їжа -- ru: еда
bon-bon;noun;ru: конфета--ua: цукерка;She gave me a chocolate bon-bon. + Bon-bons come in many flavors. + The children love bon-bons.;ua: їжа -- ru: еда
bottled water;noun;ru: бутилированная вода--ua: бутильована вода;He only drinks bottled water. + Bottled water is more expensive than tap water. + Always carry bottled water while traveling.;ua: їжа -- ru: еда
bouchee;noun;ru: пирожное, закуска--ua: тістечко, закуска;She made bouchees for the party. + Bouchees are often filled with cream. + I love chocolate bouchees.;ua: їжа -- ru: еда
bouillon;noun;ru: бульон--ua: бульйон;Chicken bouillon is very nourishing. + She made a delicious vegetable bouillon. + Bouillon is often used as a soup base.;ua: їжа -- ru: еда
bowl;noun;ru: миска, чаша--ua: миска, чаша;She poured the soup into a bowl. + He bought a set of glass bowls. + I need a bigger bowl for the salad.;ua: їжа -- ru: еда
bread;noun;ru: хлеб--ua: хліб;Fresh bread smells amazing. + He bought a loaf of bread. + I love homemade bread.;ua: їжа -- ru: еда
bread crumbs;noun;ru: панировочные сухари--ua: панірувальні сухарі;She used bread crumbs for coating the cutlets. + Bread crumbs add a crunchy texture. + You can make bread crumbs at home.;ua: їжа -- ru: еда
breakfast;noun;ru: завтрак--ua: сніданок;Breakfast is the most important meal of the day. + She had eggs for breakfast. + I usually eat cereal for breakfast.;ua: їжа -- ru: еда
broccoli;noun;ru: брокколи--ua: броколі;Broccoli is very healthy. + She made steamed broccoli for dinner. + I love broccoli with cheese sauce.;ua: їжа -- ru: еда
butter;noun;ru: масло--ua: масло;She spread butter on the toast. + Butter makes the cake soft. + I prefer unsalted butter.;ua: їжа -- ru: еда
buttercream;noun;ru: масляный крем--ua: масляний крем;The cake was covered in buttercream. + Buttercream is made from butter and sugar. + She decorated the cupcakes with buttercream.;ua: їжа -- ru: еда
cabbage;noun;ru: капуста--ua: капуста;Cabbage is used in many salads. + He made cabbage soup. + Cabbage rolls are a traditional dish.;ua: їжа -- ru: еда
cake;noun;ru: торт, пирог--ua: торт, пиріг;She baked a chocolate cake. + The cake was very delicious. + I love fruit cake.;ua: їжа -- ru: еда
can;noun;ru: банка, жестяная банка--ua: банка, жестяна банка;He opened a can of soda. + Canned food is convenient. + She bought a can of beans.;ua: їжа -- ru: еда
candy;noun;ru: конфета, сладость--ua: цукерка, солодощі;The child loves candy. + She bought a bag of candies. + Hard candy is not good for teeth.;ua: їжа -- ru: еда
candy bar;noun;ru: шоколадный батончик--ua: шоколадний батончик;He ate a candy bar. + Candy bars are a quick snack. + This candy bar has nuts inside.;ua: їжа -- ru: еда
canned goods;noun;ru: консервы, консервированные продукты--ua: консерви, консервовані продукти;The store sells a variety of canned goods. + Canned goods are useful for long-term storage. + He bought canned goods for the winter.;ua: їжа -- ru: еда
caramel;noun;ru: карамель--ua: карамель;She made homemade caramel. + Caramel sauce goes well with ice cream. + The caramel was too sticky.;ua: їжа -- ru: еда
to caramelize;verb;ru: карамелизировать--ua: карамелізувати;She caramelized the onions. + The sugar caramelized quickly. + Caramelized apples taste amazing.;ua: їжа -- ru: еда
carrot;noun;ru: морковь--ua: морква;Carrots are good for your eyesight. + He ate a raw carrot. + She made a carrot salad.;ua: їжа -- ru: еда
catfish;noun;ru: сом--ua: сом;He caught a catfish in the river. + Fried catfish is delicious. + Catfish live in freshwater lakes.;ua: їжа -- ru: еда
cauliflower;noun;ru: цветная капуста--ua: цвітна капуста;Cauliflower is a healthy vegetable. + She made mashed cauliflower. + Roasted cauliflower is tasty.;ua: їжа -- ru: еда
caviar;noun;ru: икра--ua: ікра;Caviar is considered a delicacy. + He bought black caviar. + She served caviar on toast.;ua: їжа -- ru: еда
celery;noun;ru: сельдерей--ua: селера;Celery has a strong flavor. + She added celery to the soup. + Celery is low in calories.;ua: їжа -- ru: еда
champignon;noun;ru: шампиньон--ua: шампіньйон;Champignons are common in cooking. + She bought fresh champignons. + Champignons can be eaten raw.;ua: їжа -- ru: еда
cheddar cheese;noun;ru: сыр чеддер--ua: сир чеддер;Cheddar cheese melts well. + He made a cheddar cheese sandwich. + I love sharp cheddar cheese.;ua: їжа -- ru: еда
cheese;noun;ru: сыр--ua: сир;She put cheese on her pizza. + Cheese is made from milk. + He prefers soft cheese.;ua: їжа -- ru: еда
cheese ball;noun;ru: сырный шарик--ua: сирний шарик;She served cheese balls at the party. + Cheese balls are crunchy. + I love homemade cheese balls.;ua: їжа -- ru: еда
cherry;noun;ru: вишня, черешня--ua: вишня, черешня;Cherries are sweet and juicy. + He picked cherries from the tree. + I love cherry pie.;ua: їжа -- ru: еда
cherry tomato;noun;ru: черри томат--ua: томат чері;Cherry tomatoes are small and sweet. + She added cherry tomatoes to the salad. + Cherry tomatoes grow quickly.;ua: їжа -- ru: еда
chestnut;noun;ru: каштан--ua: каштан;Roasted chestnuts are delicious. + He gathered chestnuts in the park. + Chestnuts can be used in cooking.;ua: їжа -- ru: еда
chicken;noun;ru: курица--ua: курка;He roasted a whole chicken. + Chicken is a common source of protein. + She made grilled chicken.;ua: їжа -- ru: еда
chicken broth;noun;ru: куриный бульон--ua: курячий бульйон;Chicken broth is great for colds. + She made soup with chicken broth. + Homemade chicken broth is healthy.;ua: їжа -- ru: еда
chili pepper;noun;ru: перец чили--ua: перець чилі;Chili peppers are very spicy. + He added chili pepper to the soup. + I love the taste of fresh chili peppers.;ua: їжа -- ru: еда
Chinese cabbage;noun;ru: пекинская капуста--ua: пекінська капуста;Chinese cabbage is often used in salads. + She made a stir-fry with Chinese cabbage. + Chinese cabbage has a mild taste.;ua: їжа -- ru: еда
chocolate;noun;ru: шоколад--ua: шоколад;I love dark chocolate. + She bought a bar of chocolate. + Chocolate melts in the heat.;ua: їжа -- ru: еда
chop;noun;ru: отбивная, кусок мяса--ua: відбивна, шматок м’яса;He ordered a pork chop. + The lamb chops were well-cooked. + She prepared grilled chops.;ua: їжа -- ru: еда
to chop;verb;ru: рубить, нарезать--ua: рубати, нарізати;Chop the onions finely. + He chopped the meat into small pieces. + She chopped the vegetables for the soup.;ua: їжа -- ru: еда
choux pastry;noun;ru: заварное тесто--ua: заварне тісто;Choux pastry is used for éclairs. + She made cream puffs with choux pastry. + Choux pastry is light and airy.;ua: їжа -- ru: еда
cider;noun;ru: сидр--ua: сидр;Apple cider is very refreshing. + He drank a glass of cold cider. + Cider can be alcoholic or non-alcoholic.;ua: їжа -- ru: еда
cinnamon;noun;ru: корица--ua: кориця;Cinnamon is used in baking. + She added cinnamon to her coffee. + The cinnamon rolls smelled amazing.;ua: їжа -- ru: еда
citric acid;noun;ru: лимонная кислота--ua: лимонна кислота;Citric acid is used as a preservative. + She added citric acid to the jam. + Citric acid gives a sour taste.;ua: їжа -- ru: еда
clams;noun;ru: моллюски--ua: молюски;He ordered a dish with fresh clams. + Clams are often served with pasta. + The clams were steamed in white wine.;ua: їжа -- ru: еда
cocoa;noun;ru: какао--ua: какао;She made hot cocoa. + Cocoa is used to make chocolate. + He bought a bag of cocoa powder.;ua: їжа -- ru: еда
coconut;noun;ru: кокос--ua: кокос;Coconut milk is popular in Asian cuisine. + She bought a fresh coconut. + The cake had coconut flakes on top.;ua: їжа -- ru: еда
coffee;noun;ru: кофе--ua: кава;I drink coffee every morning. + He prefers black coffee. + Coffee keeps me awake.;ua: їжа -- ru: еда
cognac;noun;ru: коньяк--ua: коньяк;He enjoys a glass of cognac. + Cognac is a strong alcoholic drink. + The recipe includes a splash of cognac.;ua: їжа -- ru: еда
condensed milk;noun;ru: сгущенное молоко--ua: згущене молоко;She added condensed milk to her coffee. + Condensed milk is very sweet. + I love pancakes with condensed milk.;ua: їжа -- ru: еда
condiment;noun;ru: приправа, специя--ua: приправа, спеція;Salt and pepper are common condiments. + She added several condiments to the dish. + This sauce is a great condiment for meat.;ua: їжа -- ru: еда
consommé sauce;noun;ru: соус консоме--ua: соус консоме;The chef prepared a consommé sauce. + Consommé sauce is made from broth. + This dish is served with consommé sauce.;ua: їжа -- ru: еда
to cook;verb;ru: готовить--ua: готувати;She loves to cook Italian food. + He cooked a delicious meal. + I will cook dinner tonight.;ua: їжа -- ru: еда
cookie;noun;ru: печенье--ua: печиво;She baked chocolate chip cookies. + He ate a cookie with tea. + The cookies were crunchy.;ua: їжа -- ru: еда
corn;noun;ru: кукуруза--ua: кукурудза;Corn grows in the summer. + She made a salad with corn. + Corn is used to make popcorn.;ua: їжа -- ru: еда
cornmeal;noun;ru: кукурузная мука--ua: кукурудзяне борошно;Cornmeal is used to make cornbread. + He bought a bag of cornmeal. + The recipe calls for fine cornmeal.;ua: їжа -- ru: еда
cottage cheese;noun;ru: творог--ua: сир (творог);Cottage cheese is rich in protein. + She eats cottage cheese for breakfast. + I like cottage cheese with honey.;ua: їжа -- ru: еда
crab;noun;ru: краб--ua: краб;He ordered crab legs. + Crab meat is very tender. + They caught a big crab.;ua: їжа -- ru: еда
cranberry;noun;ru: клюква--ua: журавлина;Cranberries are very tart. + She made cranberry sauce. + Cranberry juice is good for health.;ua: їжа -- ru: еда
cream;noun;ru: сливки, крем--ua: вершки, крем;She added cream to her coffee. + The cake had a vanilla cream filling. + He whipped the cream for the dessert.;ua: їжа -- ru: еда
to crumble up;verb;ru: крошить--ua: кришити;She crumbled up the cookies. + He crumbled up the bread for stuffing. + The cheese crumbled up easily.;ua: їжа -- ru: еда
to crush;verb;ru: раздавить, растолочь--ua: роздавити, розтерти;He crushed the garlic. + She crushed the nuts for the cake. + Crush the ice before adding it to the drink.;ua: їжа -- ru: еда
cucumber;noun;ru: огурец--ua: огірок;Cucumber is refreshing in summer. + She made a cucumber salad. + I like fresh cucumbers with salt.;ua: їжа -- ru: еда
cup;noun;ru: чашка--ua: чашка;She drank a cup of tea. + He bought a new coffee cup. + The cup was full of hot chocolate.;ua: їжа -- ru: еда
curd;noun;ru: творог--ua: сир (творог);She ate curd with honey. + Curd is very nutritious. + He made curd pancakes.;ua: їжа -- ru: еда
curd cheese;noun;ru: творожный сыр--ua: сирковий сир;Curd cheese is soft and creamy. + She spread curd cheese on toast. + Curd cheese is used in many desserts.;ua: їжа -- ru: еда
currant;noun;ru: смородина--ua: смородина;Red currant has a sour taste. + He picked fresh currants. + Currant jam is very tasty.;ua: їжа -- ru: еда
curry;noun;ru: карри--ua: карі;He made a spicy curry. + Curry is popular in Indian cuisine. + She loves chicken curry.;ua: їжа -- ru: еда
daikon;noun;ru: дайкон, японская редька--ua: дайкон, японська редька;Daikon is often used in Asian dishes. + She added daikon to the salad. + Daikon has a mild taste.;ua: їжа -- ru: еда
dairy section;noun;ru: молочный отдел--ua: молочний відділ;The dairy section has fresh milk. + He bought cheese from the dairy section. + The dairy section also sells yogurt.;ua: їжа -- ru: еда
dessert;noun;ru: десерт--ua: десерт;She ordered a chocolate dessert. + Desserts are my favorite part of a meal. + The restaurant has delicious desserts.;ua: їжа -- ru: еда
to dice;verb;ru: нарезать кубиками--ua: нарізати кубиками;Dice the onions finely. + He diced the tomatoes for the salad. + She diced the potatoes before frying them.;ua: їжа -- ru: еда
to dine;verb;ru: обедать, ужинать--ua: обідати, вечеряти;They dined at a fancy restaurant. + He dined with his family. + She loves to dine out.;ua: їжа -- ru: еда
dinner;noun;ru: ужин--ua: вечеря;We had dinner at a nice restaurant. + I usually have dinner at 7 PM.;ua: їжа -- ru: еда
dish;noun;ru: блюдо--ua: страва;This dish is very tasty. + I ordered my favorite dish.;ua: їжа -- ru: еда
to dissolve;verb;ru: растворять--ua: розчиняти;Sugar dissolves in water. + The pill dissolved quickly.;ua: їжа -- ru: еда
dough;noun;ru: тесто--ua: тісто;Knead the dough well. + The dough needs to rest.;ua: їжа -- ru: еда
dried;adjective;ru: сушёный--ua: сушений;I prefer dried fruits. + Dried herbs add flavor.;ua: їжа -- ru: еда
dried apricots;noun;ru: курага--ua: курага;Dried apricots are sweet. + I add dried apricots to my cereal.;ua: їжа -- ru: еда
drink;noun;ru: напиток--ua: напій;I ordered a cold drink. + This drink is refreshing.;ua: їжа -- ru: еда
to drink;verb;ru: пить--ua: пити;I drink water every day. + He drank coffee in the morning.;ua: їжа -- ru: еда
duck;noun;ru: утка--ua: качка;Roast duck is delicious. + Ducks swim in the pond.;ua: їжа -- ru: еда
to eat;verb;ru: есть--ua: їсти;I like to eat fruit. + She eats breakfast early.;ua: їжа -- ru: еда
egg;noun;ru: яйцо--ua: яйце;I boiled an egg. + Eggs are rich in protein.;ua: їжа -- ru: еда
egg white;noun;ru: белок яйца--ua: білок яйця;Egg whites are used in baking. + He separated the egg white from the yolk.;ua: їжа -- ru: еда
eggplant;noun;ru: баклажан--ua: баклажан;I cooked eggplant for dinner. + Eggplant is popular in Mediterranean cuisine.;ua: їжа -- ru: еда
essence;noun;ru: эссенция--ua: есенція;Vanilla essence adds flavor. + The essence of the idea is simple.;ua: їжа -- ru: еда
evening meal;noun;ru: ужин--ua: вечеря;The evening meal was delicious. + We had a light evening meal.;ua: їжа -- ru: еда
fennel;noun;ru: фенхель--ua: фенхель;Fennel has a unique taste. + I added fennel to the salad.;ua: їжа -- ru: еда
fig;noun;ru: инжир--ua: інжир;Figs are sweet and juicy. + Dried figs are a great snack.;ua: їжа -- ru: еда
fillet;noun;ru: филе--ua: філе;I ordered a fish fillet. + The fillet was perfectly cooked.;ua: їжа -- ru: еда
fish;noun;ru: рыба--ua: риба;I like grilled fish. + Fish is a healthy food.;ua: їжа -- ru: еда
flour;noun;ru: мука--ua: борошно;Flour is needed for baking. + He bought a bag of flour.;ua: їжа -- ru: еда
food;noun;ru: еда--ua: їжа;I love Italian food. + The food was delicious.;ua: їжа -- ru: еда
food plastic foil;noun;ru: пищевая пленка--ua: харчова плівка;Cover the dish with food plastic foil. + Food plastic foil keeps food fresh.;ua: їжа -- ru: еда
fork;noun;ru: вилка--ua: виделка;I need a fork to eat pasta. + He dropped his fork on the floor.;ua: їжа -- ru: еда
to form;verb;ru: формировать--ua: формувати;She formed the dough into a ball. + Clouds are forming in the sky.;ua: їжа -- ru: еда
French beans;noun;ru: стручковая фасоль--ua: стручкова квасоля;French beans are tasty. + I added French beans to the stew.;ua: їжа -- ru: еда
fresh;adjective;ru: свежий--ua: свіжий;I love fresh vegetables. + This juice is fresh.;ua: їжа -- ru: еда
frozen;adjective;ru: замороженный--ua: заморожений;I bought frozen berries. + Frozen food lasts longer.;ua: їжа -- ru: еда
fruit;noun;ru: фрукт--ua: фрукт;I eat fruit every day. + Bananas are my favorite fruit.;ua: їжа -- ru: еда
to fry;verb;ru: жарить--ua: смажити;I will fry some potatoes. + He fried the fish in butter.;ua: їжа -- ru: еда
frying fat;noun;ru: жир для жарки--ua: жир для смаження;Use less frying fat. + This frying fat is unhealthy.;ua: їжа -- ru: еда
frying pan;noun;ru: сковорода--ua: сковорідка;I bought a new frying pan. + The frying pan is hot.;ua: їжа -- ru: еда
garlic;noun;ru: чеснок--ua: часник;Garlic adds great flavor. + I always cook with garlic.;ua: їжа -- ru: еда
garnish, side dish;noun;ru: гарнир--ua: гарнір;Rice is a common side dish. + The garnish was well-prepared.;ua: їжа -- ru: еда
gazpacho;noun;ru: гаспачо--ua: гаспачо;Gazpacho is a cold soup. + I made gazpacho for lunch.;ua: їжа -- ru: еда
gelatin;noun;ru: желатин--ua: желатин;Gelatin is used in desserts. + I need gelatin for the cake.;ua: їжа -- ru: еда
ginger;noun;ru: имбирь--ua: імбир;Ginger is good for health. + I added ginger to my tea.;ua: їжа -- ru: еда
gizzards;noun;ru: потроха--ua: потрухи;Fried gizzards are tasty. + I don’t like chicken gizzards.;ua: їжа -- ru: еда
glass;noun;ru: стакан--ua: склянка;I drank a glass of water. + He broke the glass.;ua: їжа -- ru: еда
grapefruit;noun;ru: грейпфрут--ua: грейпфрут;Grapefruit is sour. + She eats a grapefruit for breakfast.;ua: їжа -- ru: еда
grapes;noun;ru: виноград--ua: виноград;I bought fresh grapes. + Grapes are used for wine.;ua: їжа -- ru: еда
green pea;noun;ru: зелёный горошек--ua: зелений горошок;I love green peas in salad. + Canned green peas are convenient.;ua: їжа -- ru: еда
greenery;noun;ru: зелень--ua: зелень;I added greenery to the soup. + Fresh greenery improves flavor.;ua: їжа -- ru: еда
greens;noun;ru: зелень--ua: зелень;Greens are healthy. + I grow fresh greens at home.;ua: їжа -- ru: еда
to grill;verb;ru: жарить на гриле--ua: смажити на грилі;I like to grill meat. + He grilled some vegetables.;ua: їжа -- ru: еда
to grind;verb;ru: молоть--ua: молоти;He ground the coffee beans. + The pepper is freshly ground.;ua: їжа -- ru: еда
ground;adjective;ru: молотый--ua: мелений;I bought ground coffee. + Ground spices add flavor.;ua: їжа -- ru: еда
ground beef;noun;ru: говяжий фарш--ua: яловичий фарш;Ground beef is used in burgers. + I cooked pasta with ground beef.;ua: їжа -- ru: еда
gum;noun;ru: жвачка--ua: жуйка;I like chewing gum. + He bought a pack of gum.;ua: їжа -- ru: еда
halibut;noun;ru: палтус--ua: палтус;Halibut is a tasty fish. + We had grilled halibut.;ua: їжа -- ru: еда
ham;noun;ru: ветчина--ua: шинка;I made a ham sandwich. + Ham is salty and delicious.;ua: їжа -- ru: еда
haricot;noun;ru: фасоль--ua: квасоля;Haricot beans are nutritious. + I cooked haricot soup.;ua: їжа -- ru: еда
to have dinner;verb;ru: ужинать--ua: вечеряти;We had dinner late. + They had dinner at a restaurant.;ua: їжа -- ru: еда
to have lunch;verb;ru: обедать--ua: обідати;I had lunch with friends. + She has lunch at noon.;ua: їжа -- ru: еда
to have supper;verb;ru: ужинать--ua: вечеряти;They had supper together. + We usually have supper at home.;ua: їжа -- ru: еда
hazelnut;noun;ru: фундук--ua: фундук;Hazelnuts are used in chocolate. + I love roasted hazelnuts.;ua: їжа -- ru: еда
honey;noun;ru: мёд--ua: мед;Honey is sweet and natural. + I add honey to my tea.;ua: їжа -- ru: еда
hot;adjective;ru: горячий--ua: гарячий;The soup is very hot. + I like hot coffee in the morning.;ua: їжа -- ru: еда
hungry;adjective;ru: голодный--ua: голодний;I am so hungry. + He felt hungry after work.;ua: їжа -- ru: еда
ice cream;noun;ru: мороженое--ua: морозиво;I love chocolate ice cream. + She bought a cone of ice cream.;ua: їжа -- ru: еда
instant coffee;noun;ru: растворимый кофе--ua: розчинна кава;Instant coffee is quick to make. + I prefer instant coffee in the morning.;ua: їжа -- ru: еда
jam;noun;ru: варенье--ua: варення;I made strawberry jam. + She spread jam on her toast.;ua: їжа -- ru: еда
jar;noun;ru: банка--ua: банка;I bought a jar of honey. + The jar is made of glass.;ua: їжа -- ru: еда
jelly;noun;ru: желе--ua: желе;I like fruit jelly. + The jelly was soft and sweet.;ua: їжа -- ru: еда
juice;noun;ru: сок--ua: сік;I drink orange juice every morning. + Fresh juice is healthy.;ua: їжа -- ru: еда
julienne;noun;ru: жюльен--ua: жульєн;Julienne is made with mushrooms. + I ordered a chicken julienne.;ua: їжа -- ru: еда
kiwi;noun;ru: киви--ua: ківі;Kiwi is rich in vitamin C. + I bought some fresh kiwi.;ua: їжа -- ru: еда
knife;noun;ru: нож--ua: ніж;I need a sharp knife. + He cut the meat with a knife.;ua: їжа -- ru: еда
lamb;noun;ru: ягнёнок--ua: ягня;Lamb is tender and tasty. + They cooked lamb stew.;ua: їжа -- ru: еда
lamb shanks;noun;ru: голяшки ягнёнка--ua: гомілки ягняти;Lamb shanks are slowly cooked. + I ordered lamb shanks for dinner.;ua: їжа -- ru: еда
leavening agent;noun;ru: разрыхлитель--ua: розпушувач;Baking powder is a leavening agent. + Yeast is a natural leavening agent.;ua: їжа -- ru: еда
leek;noun;ru: лук-порей--ua: цибуля-порей;Leek is used in soups. + I added leek to my salad.;ua: їжа -- ru: еда
lemon;noun;ru: лимон--ua: лимон;Lemons are sour. + I made lemonade with fresh lemons.;ua: їжа -- ru: еда
lemonade;noun;ru: лимонад--ua: лимонад;I ordered a cold lemonade. + Homemade lemonade is the best.;ua: їжа -- ru: еда
lentil;noun;ru: чечевица--ua: сочевиця;Lentils are rich in protein. + I made lentil soup.;ua: їжа -- ru: еда
lime;noun;ru: лайм--ua: лайм;Lime is used in cocktails. + I love the taste of fresh lime.;ua: їжа -- ru: еда
liqueur;noun;ru: ликёр--ua: лікер;He drank a glass of liqueur. + Liqueur is often used in desserts.;ua: їжа -- ru: еда
litchi;noun;ru: личи--ua: лічі;Litchi is sweet and juicy. + I bought some fresh litchi.;ua: їжа -- ru: еда
liver;noun;ru: печень--ua: печінка;I don’t like liver. + Liver is very nutritious.;ua: їжа -- ru: еда
lobster;noun;ru: омар--ua: омар;Lobster is a delicacy. + He ordered grilled lobster.;ua: їжа -- ru: еда
long loaf;noun;ru: батон--ua: батон;I bought a fresh long loaf. + The long loaf was soft inside.;ua: їжа -- ru: еда
lunch;noun;ru: обед--ua: обід;I had lunch at work. + Lunch is served at noon.;ua: їжа -- ru: еда
maize;noun;ru: кукуруза--ua: кукурудза;Maize is used for making cornmeal. + Farmers grow a lot of maize.;ua: їжа -- ru: еда
mango;noun;ru: манго--ua: манго;Mango is sweet and juicy. + I love mango smoothies.;ua: їжа -- ru: еда
margarine;noun;ru: маргарин--ua: маргарин;Margarine is used for baking. + I spread margarine on my toast.;ua: їжа -- ru: еда
to marinate;verb;ru: мариновать--ua: маринувати;I marinated the chicken overnight. + Marinated meat tastes better.;ua: їжа -- ru: еда
marrow;noun;ru: кабачок--ua: кабачок;Marrow is similar to zucchini. + I fried some marrow with garlic.;ua: їжа -- ru: еда
mascarpone;noun;ru: маскарпоне--ua: маскарпоне;Mascarpone is used in desserts. + Tiramisu is made with mascarpone.;ua: їжа -- ru: еда
mash;verb;ru: разминать--ua: м’яти;Mash the potatoes well. + He mashed the bananas.;ua: їжа -- ru: еда
mashed potato;noun;ru: картофельное пюре--ua: картопляне пюре;I love mashed potatoes with gravy. + She made creamy mashed potatoes.;ua: їжа -- ru: еда
meal;noun;ru: приём пищи--ua: прийом їжі;Breakfast is an important meal. + We had a big meal.;ua: їжа -- ru: еда
meat;noun;ru: мясо--ua: м’ясо;Meat is a good source of protein. + I bought fresh meat.;ua: їжа -- ru: еда
meat rissole;noun;ru: мясная котлета--ua: м’ясна котлета;Meat rissoles are delicious. + She fried some meat rissoles.;ua: їжа -- ru: еда
melon;noun;ru: дыня--ua: диня;Melon is very refreshing. + I bought a ripe melon.;ua: їжа -- ru: еда
to melt;verb;ru: растапливать--ua: розтоплювати;The butter melted in the pan. + Chocolate melts quickly.;ua: їжа -- ru: еда
melted butter;noun;ru: топлёное масло--ua: топлене масло;I used melted butter for baking. + Melted butter adds flavor.;ua: їжа -- ru: еда
menu;noun;ru: меню--ua: меню;The menu has many options. + I checked the restaurant menu.;ua: їжа -- ru: еда
midday meal;noun;ru: обед--ua: обід;Midday meals are important. + We had a light midday meal.;ua: їжа -- ru: еда
milk;noun;ru: молоко--ua: молоко;I drink milk every morning. + Milk is rich in calcium.;ua: їжа -- ru: еда
minced meat;noun;ru: фарш--ua: фарш;I made meatballs with minced meat. + Minced meat is used in many recipes.;ua: їжа -- ru: еда
mint;noun;ru: мята--ua: м’ята;Mint has a fresh smell. + I added mint leaves to my tea.;ua: їжа -- ru: еда
